hx_x,hx_y,hx_z,hx_temp,hy_x,hy_y,hy_z,hy_temp
4439,-24483,-2449,24,11533,-23566,2260,33
4430,-24501,-2443,26,11527,-23550,2257,32
4438,-24463,-2422,24,11535,-23564,2267,35
4440,-24493,-2450,25,11531,-23566,2272,32
4436,-24497,-2422,24,11541,-23574,2257,35
4423,-24483,-2432,23,11531,-23574,2276,35
4428,-24489,-2433,24,11525,-23540,2265,34
4432,-24461,-2440,23,11541,-23588,2257,34
4421,-24479,-2443,24,11531,-23562,2267,33
4418,-24479,-2444,23,11539,-23564,2254,34
4435,-24489,-2413,24,11505,-23562,2283,33
4422,-24497,-2459,25,11533,-23556,2261,35
4422,-24495,-2457,25,11525,-23580,2259,35
4442,-24493,-2444,26,11531,-23556,2272,34
4426,-24483,-2453,25,11525,-23568,2273,35
4431,-24473,-2472,25,11521,-23578,2254,34
4448,-24483,-2440,24,11515,-23568,2286,35
4430,-24495,-2436,24,11529,-23558,2268,32
4416,-24487,-2445,23,11533,-23798,2290,31
4433,-24463,-2462,25,11533,-23564,2268,33
4428,-24481,-2449,22,11543,-23558,2290,34
4421,-24475,-2442,25,11537,-23568,2271,35
4417,-24481,-2437,25,11523,-23556,2262,32
4425,-24513,-2461,25,11535,-23562,2253,33
4429,-24497,-2462,25,11545,-23568,2241,34
4431,-24475,-2448,25,11519,-23564,2273,34
4423,-24493,-2438,24,11527,-23562,2263,34
4440,-24477,-2455,25,11535,-23560,2252,34
4434,-24501,-2451,25,11527,-23564,2257,34
4421,-24485,-2448,24,11517,-23554,2259,33
4422,-24491,-2424,25,11525,-23550,2259,34
4431,-24485,-2459,23,11533,-23576,2251,35
4428,-24491,-2452,26,11523,-23576,2266,36
4444,-24491,-2459,25,11523,-23548,2241,31
4427,-24487,-2444,23,11527,-23552,2252,33
4433,-24495,-2422,24,11531,-23546,2277,35
4430,-24501,-2442,24,11509,-23566,2264,33
4414,-24477,-2408,24,11527,-23548,2273,33
4418,-24491,-2440,24,11541,-23562,2273,34
4418,-24489,-2452,23,11537,-23574,2263,33
4416,-24491,-2443,25,11533,-23566,2269,35
4428,-24483,-2461,24,11535,-23556,2290,34
4427,-24505,-2446,24,11525,-23568,2266,33
4436,-24483,-2434,24,11547,-23552,2261,33
4429,-24491,-2431,25,11547,-23584,2266,36
4433,-24473,-2430,23,11525,-23554,2269,34
4433,-24483,-2461,25,11517,-23560,2269,33
4425,-24501,-2430,24,11525,-23550,2269,32
4429,-24471,-2446,24,11541,-23570,2287,36
4441,-24475,-2445,24,11523,-23562,2275,34
4435,-24485,-2428,23,11541,-23554,2294,34
4441,-24497,-2462,24,11529,-23574,2285,35
4435,-24489,-2443,25,11557,-23568,2266,34
4433,-24491,-2428,25,11523,-23528,2268,31
4435,-24483,-2429,25,11541,-23548,2263,35
4428,-24495,-2438,22,11545,-23554,2235,34
4443,-24485,-2464,24,11533,-23566,2248,31
4430,-24452,-2437,23,11537,-23554,2265,33
4436,-24493,-2448,26,11531,-23556,2273,34
4432,-24495,-2431,25,11521,-23548,2262,33
4439,-24487,-2451,25,11529,-23562,2281,34
4438,-24479,-2442,24,11541,-23558,2246,33
4433,-24485,-2441,23,11519,-23544,2252,32
4447,-24483,-2452,23,11533,-23532,2276,32
4435,-24483,-2461,23,11533,-23550,2278,33
4435,-24475,-2442,24,11537,-23568,2240,34
4427,-24483,-2448,26,11535,-23548,2260,35
4439,-24495,-2445,25,11523,-23570,2282,34
4419,-24491,-2457,24,11775,-23548,2242,31
4436,-24475,-2432,22,11533,-23548,2272,34
4431,-24469,-2434,25,11533,-23562,2287,32
4437,-24503,-2438,25,11527,-23524,2268,33
4419,-24469,-2450,25,11545,-23552,2261,33
4443,-24485,-2430,23,11509,-23564,2255,34
4430,-24467,-2434,22,11537,-23554,2261,34
4433,-24481,-2426,24,11537,-23576,2284,35
4441,-24481,-2434,25,11541,-23538,2245,33
4433,-24479,-2441,24,11535,-23566,2262,34
4419,-24493,-2435,24,11769,-23564,2269,31
4437,-24475,-2432,22,11539,-23566,2277,34
4435,-24469,-2449,24,11515,-23576,2242,33
4439,-24483,-2437,24,11773,-23558,2284,34
4431,-24483,-2466,24,11529,-23558,2248,34
4447,-24483,-2432,25,11517,-23546,2278,33
4437,-24501,-2436,26,11525,-23548,2257,33
4437,-24487,-2427,24,11515,-23550,2251,34
4417,-24483,-2460,23,11517,-23550,2268,32
4439,-24481,-2435,23,11533,-23566,2279,33
4441,-24477,-2462,25,11539,-23558,2272,32
4431,-24479,-2447,23,11521,-23546,2250,35
4430,-24460,-2459,22,11527,-23558,2279,32
4422,-24493,-2471,22,11531,-23562,2264,33
4428,-24471,-2458,22,11531,-23564,2269,35
4429,-24467,-2452,25,11535,-23538,2271,33
4433,-24473,-2448,24,11521,-23556,2289,35
4433,-24485,-2451,26,11525,-23560,2260,32
4427,-24493,-2429,26,11525,-23806,2273,33
4429,-24493,-2435,24,11515,-23558,2254,34
4431,-24487,-2452,24,11521,-23570,2268,32
4437,-24485,-2433,25,11537,-23566,2270,33
